Month,Year,Fuel,Total Count
January,2017,Electric,4568
January,2017,Solar,18
February,2017,Electric,4412
February,2017,Solar,18
March,2017,Electric,5991
March,2017,Solar,23
April,2017,Electric,5057
April,2017,Solar,19
May,2017,Electric,7081
May,2017,Solar,11
June,2017,Electric,7504
June,2017,Solar,11
July,2017,Electric,9026
July,2017,Solar,6
August,2017,Electric,9171
August,2017,Solar,13
September,2017,Electric,7791
September,2017,Solar,15
October,2017,Electric,7714
October,2017,Solar,6
November,2017,Electric,10176
November,2017,Solar,8
December,2017,Electric,9063
December,2017,Solar,9
January,2018,Electric,8886
January,2018,Solar,15
February,2018,Electric,7457
February,2018,Solar,6
March,2018,Electric,7829
March,2018,Solar,2
April,2018,Electric,7520
April,2018,Solar,6
May,2018,Electric,8544
May,2018,Solar,4
June,2018,Electric,8940
June,2018,Solar,4
July,2018,Electric,11399
July,2018,Solar,4
August,2018,Electric,11655
August,2018,Solar,6
September,2018,Electric,14351
September,2018,Solar,5
October,2018,Electric,15172
October,2018,Solar,2
November,2018,Electric,14180
November,2018,Solar,4
December,2018,Electric,15621
December,2018,Solar,6
January,2019,Electric,13223
January,2019,Solar,0
February,2019,Electric,11580
February,2019,Solar,0
March,2019,Electric,14405
March,2019,Solar,2
April,2019,Electric,10574
April,2019,Solar,0
May,2019,Electric,9781
May,2019,Solar,0
June,2019,Electric,10764
June,2019,Solar,4
July,2019,Electric,12206
July,2019,Solar,2
August,2019,Electric,12810
August,2019,Solar,0
September,2019,Electric,15829
September,2019,Solar,1
October,2019,Electric,15196
October,2019,Solar,0
November,2019,Electric,18502
November,2019,Solar,1
December,2019,Electric,16438
December,2019,Solar,1
January,2020,Electric,16437
January,2020,Solar,0
February,2020,Electric,16151
February,2020,Solar,1
March,2020,Electric,13625
March,2020,Solar,1
April,2020,Electric,901
April,2020,Solar,2
May,2020,Electric,1277
May,2020,Solar,0
June,2020,Electric,6210
June,2020,Solar,0
July,2020,Electric,7513
July,2020,Solar,0
August,2020,Electric,8117
August,2020,Solar,0
September,2020,Electric,10673
September,2020,Solar,0
October,2020,Electric,10899
October,2020,Solar,0
November,2020,Electric,12861
November,2020,Solar,1
December,2020,Electric,14986
December,2020,Solar,0
January,2021,Electric,16213
January,2021,Solar,1
February,2021,Electric,19120
February,2021,Solar,1
March,2021,Electric,26079
March,2021,Solar,2
April,2021,Electric,14175
April,2021,Solar,1
May,2021,Electric,3310
May,2021,Solar,1
June,2021,Electric,9144
June,2021,Solar,0
